fund_name,category,fund_ytd,fund_1y,fund_3y,fund_5y,benchmark_name,benchmark_ytd,benchmark_1y,benchmark_3y,benchmark_5y,fund_mean,fund_std_dev,fund_Sharpe,fund_Sortino,fund_Beta,fund_Alpha,benchmark_mean,benchmark_std_dev,benchmark_Sharpe,benchmark_Sortino,fund_house,Type,Expense_ratio,AMC,Benchmark,Fund Manager,sector1_name,sector1_percent,sector2_name,sector2_percent,sector3_name,sector3_percent,Riskometer,Category,SubCategory
SBI PSU Dir,Equity: Thematic-PSU,2.0,-7.55,30.49,30.96,BSE PSU TRI,1.33,-11.15,31.3,34.8,28.63,22.18,1.01,2.0,0.95,0.52,29.25,22.61,1.01,1.84,SBI Mutual Fund,Open-ended,"0.84%
(As on 31-Aug-2025)",SBI Funds Management Ltd,BSE PSU TRI,Rohit Shimpi,Energy & Utilities,43.84,Financial,34.8,Industrials,12.08,Very High,Equity,Thematic-PSU
SBI Small Cap Dir,Equity: Small Cap,-2.19,-5.95,15.86,25.64,BSE 250 SmallCap TRI,-3.99,-8.74,21.32,28.44,15.75,14.08,0.67,0.92,0.72,-1.13,20.97,18.9,0.77,1.19,SBI Mutual Fund,Open-ended,"0.74%
(As on 31-Aug-2025)",SBI Funds Management Ltd,BSE 250 SmallCap TRI,Rama Iyer Srinivasan,Industrials,27.01,Financial,19.17,Consumer Discretionary,18.25,Very High,Equity,Small Cap
SBI Technology Opportunities Dir,Equity: Sectoral-Technology,-4.26,0.23,19.13,24.54,BSE IT TRI,-19.93,-19.68,8.43,15.64,18.35,15.15,0.79,1.57,0.75,9.46,9.76,19.48,0.18,0.33,SBI Mutual Fund,Open-ended,"0.90%
(As on 31-Aug-2025)",SBI Funds Management Ltd,BSE Teck TRI,Vivek Gedda,Technology,76.04,Industrials,11.72,Financial,3.84,Very High,Equity,Sectoral-Technology
Shriram ELSS Tax Saver Dir,Equity: ELSS,-8.67,-11.95,11.44,15.24,BSE 500 TRI,2.84,-3.29,15.09,20.66,11.64,15.19,0.35,0.45,1.01,-2.84,14.4,13.39,0.6,0.94,Shriram Mutual Fund,Open-ended,"0.80%
(As on 31-Aug-2025)",Shriram Asset Management Company Ltd,NIFTY 500 TRI,Deepak Ramaraju,Financial,32.82,Industrials,10.76,Materials,10.64,Very High,Equity,ELSS
Shriram Flexi Cap Dir,Equity: Flexi Cap,-9.44,-12.93,11.44,15.9,BSE 500 TRI,2.84,-3.29,15.09,20.66,11.7,15.24,0.35,0.46,1.0,-2.73,14.4,13.39,0.6,0.94,Shriram Mutual Fund,Open-ended,"0.84%
(As on 31-Aug-2025)",Shriram Asset Management Company Ltd,NIFTY 500 TRI,Deepak Ramaraju,Financial,32.87,Materials,10.78,Industrials,10.62,Very High,Equity,Flexi Cap
Sundaram Consumption Dir,Equity: Thematic-Consumption,3.59,0.6,17.77,20.67,BSE 500 TRI,2.84,-3.29,15.09,20.66,16.46,13.4,0.76,0.97,0.77,1.25,14.4,13.39,0.6,0.94,Sundaram Mutual Fund,Open-ended,"1.32%
(As on 31-Aug-2025)",Sundaram Asset Management Company Ltd,NIFTY India Consumption TRI,Ratish Varier,Consumer Discretionary,36.25,Consumer Staples,30.76,Technology,17.15,Very High,Equity,Thematic-Consumption
Sundaram Dividend Yield Dir,Equity: Thematic-Dividend Yield,-1.0,-6.72,17.05,20.73,BSE 500 TRI,2.84,-3.29,15.09,20.66,16.15,13.12,0.75,1.12,0.95,2.17,14.4,13.39,0.6,0.94,Sundaram Mutual Fund,Open-ended,"1.08%
(As on 31-Aug-2025)",Sundaram Asset Management Company Ltd,NIFTY 500 TRI,Ashish Aggarwal,Financial,22.13,Energy & Utilities,20.39,Technology,13.65,Very High,Equity,Thematic-Dividend Yield
Sundaram ELSS Tax Saver Dir,Equity: ELSS,4.04,0.18,14.92,20.87,BSE 500 TRI,2.84,-3.29,15.09,20.66,14.53,11.63,0.7,1.19,0.84,1.39,14.4,13.39,0.6,0.94,Sundaram Mutual Fund,Open-ended,"1.67%
(As on 31-Aug-2025)",Sundaram Asset Management Company Ltd,NIFTY 500 TRI,Bharath S.,Financial,30.44,Industrials,14.21,Technology,10.62,Very High,Equity,ELSS
Sundaram Focused Dir,Equity: Flexi Cap,-0.38,-4.16,14.0,19.78,BSE 500 TRI,2.84,-3.29,15.09,20.66,13.78,11.8,0.63,1.06,0.84,0.7,14.4,13.39,0.6,0.94,Sundaram Mutual Fund,Open-ended,"1.30%
(As on 31-Aug-2025)",Sundaram Asset Management Company Ltd,NIFTY 500 TRI,Ashwin Jain,Financial,31.88,Technology,17.66,Consumer Discretionary,13.05,Very High,Equity,Flexi Cap
Sundaram Infrastructure Advantage Dir,Equity: Thematic-Infrastructure,1.02,-3.46,21.17,27.15,BSE India Infrastructure TRI,-3.38,-19.16,27.14,34.31,20.55,15.77,0.9,1.33,0.55,3.53,25.88,24.31,0.8,1.54,Sundaram Mutual Fund,Open-ended,"1.88%
(As on 31-Aug-2025)",Sundaram Asset Management Company Ltd,NIFTY Infrastructure TRI,Ashish Aggarwal,Industrials,39.13,Energy & Utilities,22.68,Technology,10.74,Very High,Equity,Thematic-Infrastructure
Sundaram Large & Midcap Dir,Equity: Large & MidCap,-0.29,-2.13,15.97,21.68,BSE Large Mid Cap TRI,3.63,-2.87,14.42,20.55,15.43,13.61,0.67,0.97,0.99,1.63,13.75,13.11,0.57,0.8,Sundaram Mutual Fund,Open-ended,"0.77%
(As on 31-Aug-2025)",Sundaram Asset Management Company Ltd,NIFTY Large Midcap 250 TRI,Ashish Aggarwal,Financial,26.53,Consumer Discretionary,13.59,Industrials,11.33,Very High,Equity,Large & MidCap
Sundaram Large Cap Dir,Equity: Large Cap,1.78,-3.05,13.17,17.83,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.82,11.65,0.56,1.02,0.91,0.05,13.41,12.6,0.56,0.95,Sundaram Mutual Fund,Open-ended,"0.64%
(As on 31-Aug-2025)",Sundaram Asset Management Company Ltd,NIFTY 100 TRI,Ashwin Jain,Financial,34.1,Technology,15.04,Energy & Utilities,11.19,Very High,Equity,Large Cap
Sundaram Midcap Dir,Equity: Mid Cap,0.53,-0.63,23.24,27.28,BSE 150 MidCap TRI,-0.17,-4.94,21.8,27.39,22.0,15.02,1.04,1.36,0.93,2.39,20.69,15.83,0.91,1.34,Sundaram Mutual Fund,Open-ended,"0.93%
(As on 31-Aug-2025)",Sundaram Asset Management Company Ltd,NIFTY Midcap 150 TRI,Bharath S.,Financial,18.84,Consumer Discretionary,17.58,Industrials,14.89,Very High,Equity,Mid Cap
Sundaram Nifty 100 Equal Weight Dir,Equity: Large Cap,4.78,-4.91,16.16,21.05,BSE 100 TRI,4.46,-1.7,14.08,19.28,15.25,14.5,0.62,1.01,1.1,1.1,13.41,12.6,0.56,0.95,Sundaram Mutual Fund,Open-ended,"0.61%
(As on 31-Aug-2025)",Sundaram Asset Management Company Ltd,NIFTY 100 Equal Weight TRI,Ashish Aggarwal,Financial,23.13,Consumer Discretionary,13.77,Materials,13.19,Very High,Equity,Large Cap
Sundaram Services Dir,Equity: Thematic,6.91,5.29,19.01,25.8,BSE 500 TRI,2.84,-3.29,15.09,20.66,17.57,12.58,0.89,1.57,0.87,4.22,14.4,13.39,0.6,0.94,Sundaram Mutual Fund,Open-ended,"0.74%
(As on 31-Aug-2025)",Sundaram Asset Management Company Ltd,NIFTY Services Sector TRI,Rohit Seksaria,Financial,37.6,Technology,24.45,Industrials,9.46,Very High,Equity,Thematic
Sundaram Small Cap Dir,Equity: Small Cap,-0.33,-3.81,20.83,29.46,BSE 250 SmallCap TRI,-3.99,-8.74,21.32,28.44,19.85,15.65,0.86,1.19,0.8,1.81,20.97,18.9,0.77,1.19,Sundaram Mutual Fund,Open-ended,"0.87%
(As on 31-Aug-2025)",Sundaram Asset Management Company Ltd,NIFTY Smallcap 250 TRI,Rohit Seksaria,Industrials,20.04,Consumer Discretionary,19.93,Financial,19.02,Very High,Equity,Small Cap
Tata BSE Sensex Index Dir,Equity: Large Cap,4.1,-0.99,11.83,16.83,BSE 100 TRI,4.46,-1.7,14.08,19.28,11.36,11.71,0.43,0.76,0.92,-1.47,13.41,12.6,0.56,0.95,Tata Mutual Fund,Open-ended,"0.30%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,BSE Sensex TRI,Nitin Bharat Sharma,Financial,39.96,Technology,18.92,Energy & Utilities,12.88,Very High,Equity,Large Cap
Tata Children's Dir,Equity: Flexi Cap,0.11,-6.42,13.88,19.33,BSE 500 TRI,2.84,-3.29,15.09,20.66,13.5,12.71,0.56,0.9,0.92,-0.22,14.4,13.39,0.6,0.94,Tata Mutual Fund,Open-ended,"2.06%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY 500 TRI,Amey Sathe,Financial,29.58,Consumer Staples,11.38,Materials,10.92,Very High,Equity,Flexi Cap
Tata Digital India Dir,Equity: Sectoral-Technology,-14.13,-11.12,15.6,23.43,BSE IT TRI,-19.93,-19.68,8.43,15.64,15.55,17.49,0.53,0.91,0.88,6.2,9.76,19.48,0.18,0.33,Tata Mutual Fund,Open-ended,"0.43%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY IT TRI,Hasmukh Vishariya,Technology,84.66,Industrials,5.58,Financial,3.64,Very High,Equity,Sectoral-Technology
Tata ELSS Dir,Equity: ELSS,-0.62,-3.7,15.63,20.98,BSE 500 TRI,2.84,-3.29,15.09,20.66,15.11,13.43,0.65,1.06,0.97,0.95,14.4,13.39,0.6,0.94,Tata Mutual Fund,Open-ended,"0.72%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY 500 TRI,Rahul Singh,Financial,34.14,Industrials,14.07,Consumer Discretionary,13.03,Very High,Equity,ELSS
Tata Ethical Dir,Equity: Thematic,-2.29,-11.06,12.38,19.09,BSE 500 TRI,2.84,-3.29,15.09,20.66,12.12,12.98,0.45,0.58,0.88,-1.34,14.4,13.39,0.6,0.94,Tata Mutual Fund,Open-ended,"0.65%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY 500 Shariah TRI,Abhinav Sharma,Technology,20.06,Materials,19.7,Healthcare,13.8,Very High,Equity,Thematic
Tata Flexi Cap Dir,Equity: Flexi Cap,8.24,1.66,16.36,19.06,BSE 500 TRI,2.84,-3.29,15.09,20.66,15.46,11.42,0.8,1.5,0.8,2.67,14.4,13.39,0.6,0.94,Tata Mutual Fund,Open-ended,"0.63%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY 500 TRI,Amey Sathe,Financial,32.59,Materials,13.43,Consumer Staples,11.73,Very High,Equity,Flexi Cap
Tata Focused Dir,Equity: Flexi Cap,-1.72,-4.95,16.92,21.8,BSE 500 TRI,2.84,-3.29,15.09,20.66,16.16,13.14,0.75,1.13,0.93,2.31,14.4,13.39,0.6,0.94,Tata Mutual Fund,Open-ended,"0.64%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY 500 TRI,Hasmukh Vishariya,Financial,26.76,Healthcare,15.34,Industrials,11.68,Very High,Equity,Flexi Cap
Tata India Consumer Dir,Equity: Thematic-Consumption,0.47,0.27,19.56,22.42,BSE 500 TRI,2.84,-3.29,15.09,20.66,18.13,14.01,0.84,1.04,0.8,2.56,14.4,13.39,0.6,0.94,Tata Mutual Fund,Open-ended,"0.72%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY India Consumption TRI,Sonam Udasi,Consumer Staples,31.9,Consumer Discretionary,27.12,Industrials,11.33,Very High,Equity,Thematic-Consumption
Tata India Pharma & Healthcare Dir,Equity: Sectoral-Pharma,-2.14,0.44,25.62,21.09,BSE Healthcare TRI,-1.75,2.08,25.5,19.48,23.75,15.97,1.09,1.69,0.98,0.79,23.38,16.15,1.06,1.6,Tata Mutual Fund,Open-ended,"0.62%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,BSE Healthcare TRI,Rajat Srivastava,Healthcare,91.21,Financial,1.63,Industrials,0.97,Very High,Equity,Sectoral-Pharma
Tata Infrastructure Dir,Equity: Thematic-Infrastructure,-5.05,-13.56,19.05,29.16,BSE India Infrastructure TRI,-3.38,-19.16,27.14,34.31,18.87,17.51,0.72,1.01,0.6,0.72,25.88,24.31,0.8,1.54,Tata Mutual Fund,Open-ended,"1.15%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,BSE India Infrastructure TRI,Abhinav Sharma,Industrials,43.33,Materials,18.25,Energy & Utilities,17.59,Very High,Equity,Thematic-Infrastructure
Tata Large Cap Dir,Equity: Large Cap,3.41,-2.82,15.19,20.18,BSE 100 TRI,4.46,-1.7,14.08,19.28,14.39,12.54,0.64,1.14,0.98,1.1,13.41,12.6,0.56,0.95,Tata Mutual Fund,Open-ended,"0.99%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY 100 TRI,Abhinav Sharma,Financial,34.93,Consumer Discretionary,15.81,Technology,12.86,Very High,Equity,Large Cap
Tata Large & Midcap Dir,Equity: Large & MidCap,0.43,-5.65,14.9,20.4,BSE Large Mid Cap TRI,3.63,-2.87,14.42,20.55,14.62,12.6,0.66,1.09,0.92,1.33,13.75,13.11,0.57,0.8,Tata Mutual Fund,Open-ended,"0.64%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY Large Midcap 250 TRI,Chandraprakash Padiyar,Financial,31.08,Materials,14.63,Industrials,9.41,Very High,Equity,Large & MidCap
Tata Mid Cap Dir,Equity: Mid Cap,0.8,-4.97,20.88,25.76,BSE 150 MidCap TRI,-0.17,-4.94,21.8,27.39,19.84,14.64,0.92,1.32,0.9,0.53,20.69,15.83,0.91,1.34,Tata Mutual Fund,Open-ended,"0.64%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY Midcap 150 TRI,Satish Chandra Mishra,Industrials,19.45,Financial,16.27,Healthcare,14.69,Very High,Equity,Mid Cap
Tata Nifty 50 ETF,Equity: Large Cap,5.72,-0.46,13.06,18.18,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.45,12.1,0.51,0.91,0.95,-0.64,13.41,12.6,0.56,0.95,Tata Mutual Fund,Open-ended,"0.06%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY 50 TRI,Nitin Bharat Sharma,Financial,37.71,Technology,16.93,Energy & Utilities,11.77,Very High,Equity,Large Cap
Tata Nifty 50 Index Dir,Equity: Large Cap,5.57,-0.7,12.83,17.92,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.24,12.1,0.49,0.87,0.95,-0.85,13.41,12.6,0.56,0.95,Tata Mutual Fund,Open-ended,"0.19%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY 50 TRI,Nitin Bharat Sharma,Financial,37.75,Technology,16.94,Energy & Utilities,11.78,Very High,Equity,Large Cap
Tata Resources & Energy Dir,Equity: Thematic-Energy,8.3,-0.44,18.8,24.21,BSE Energy TRI,3.7,-16.15,12.39,15.8,17.87,15.43,0.75,1.25,0.6,7.87,12.45,21.7,0.28,0.46,Tata Mutual Fund,Open-ended,"0.54%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY Commodities TRI,Satish Chandra Mishra,Materials,58.09,Energy & Utilities,30.69,Consumer Staples,1.8,Very High,Equity,Thematic-Energy
Tata Retirement Savings Progressive Dir,Equity: Flexi Cap,-1.28,-2.19,16.42,18.06,BSE 500 TRI,2.84,-3.29,15.09,20.66,15.6,13.4,0.69,0.92,0.92,1.81,14.4,13.39,0.6,0.94,Tata Mutual Fund,Open-ended,"0.54%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY 500 TRI,Sonam Udasi,Financial,28.71,Consumer Staples,13.65,Technology,12.05,Very High,Equity,Flexi Cap
Tata Small Cap Dir,Equity: Small Cap,-3.84,-5.91,22.98,31.92,BSE 250 SmallCap TRI,-3.99,-8.74,21.32,28.44,21.8,16.03,0.97,1.31,0.79,3.87,20.97,18.9,0.77,1.19,Tata Mutual Fund,Open-ended,"0.33%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY Smallcap 250 TRI,Chandraprakash Padiyar,Materials,27.09,Industrials,17.29,Consumer Discretionary,17.27,Very High,Equity,Small Cap
Tata Value Dir,Equity: Value Oriented,-2.6,-9.85,19.23,22.45,BSE 500 TRI,2.84,-3.29,15.09,20.66,18.15,14.32,0.83,1.28,1.04,3.44,14.4,13.39,0.6,0.94,Tata Mutual Fund,Open-ended,"0.80%
(As on 31-Aug-2025)",Tata Asset Management Private Ltd,NIFTY 500 TRI,Amey Sathe,Financial,36.46,Technology,13.19,Energy & Utilities,11.65,Very High,Equity,Value Oriented
Taurus ELSS Tax Saver Dir,Equity: ELSS,0.41,-1.37,18.59,19.62,BSE 500 TRI,2.84,-3.29,15.09,20.66,17.28,11.64,0.94,1.48,0.77,4.71,14.4,13.39,0.6,0.94,Taurus Mutual Fund,Open-ended,"1.79%
(As on 31-Aug-2025)",Taurus Asset Management Company Ltd,BSE 500 TRI,Anuj Kapil,Financial,37.6,Healthcare,11.63,Consumer Staples,11.3,Very High,Equity,ELSS
Taurus Ethical Dir,Equity: Thematic,-1.04,-8.68,14.89,18.47,BSE 500 TRI,2.84,-3.29,15.09,20.66,14.52,14.24,0.58,0.82,0.96,0.44,14.4,13.39,0.6,0.94,Taurus Mutual Fund,Open-ended,"0.97%
(As on 31-Aug-2025)",Taurus Asset Management Company Ltd,BSE 500 Shariah TRI,Anuj Kapil,Energy & Utilities,18.98,Technology,16.5,Industrials,14.05,Very High,Equity,Thematic
Taurus Flexi Cap Dir,Equity: Flexi Cap,-2.58,-7.1,12.6,17.15,BSE 500 TRI,2.84,-3.29,15.09,20.66,12.5,13.7,0.45,0.67,0.95,-1.53,14.4,13.39,0.6,0.94,Taurus Mutual Fund,Open-ended,"2.57%
(As on 31-Aug-2025)",Taurus Asset Management Company Ltd,BSE 500 TRI,Anuj Kapil,Financial,32.47,Consumer Discretionary,12.56,Consumer Staples,10.78,Very High,Equity,Flexi Cap
Taurus Infrastructure Dir,Equity: Thematic-Infrastructure,-0.35,-6.4,18.59,23.31,BSE India Infrastructure TRI,-3.38,-19.16,27.14,34.31,18.07,16.31,0.72,1.11,0.56,0.8,25.88,24.31,0.8,1.54,Taurus Mutual Fund,Open-ended,"1.95%
(As on 31-Aug-2025)",Taurus Asset Management Company Ltd,NIFTY Infrastructure TRI,Anuj Kapil,Industrials,29.72,Energy & Utilities,28.16,Materials,12.18,Very High,Equity,Thematic-Infrastructure
Taurus Large Cap Dir,Equity: Large Cap,0.52,-4.07,12.03,17.1,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.13,13.76,0.42,0.63,0.99,-1.21,13.41,12.6,0.56,0.95,Taurus Mutual Fund,Open-ended,"2.41%
(As on 31-Aug-2025)",Taurus Asset Management Company Ltd,BSE 100 TRI,Anuj Kapil,Financial,31.52,Energy & Utilities,13.71,Consumer Staples,11.04,Very High,Equity,Large Cap
Taurus Mid Cap Dir,Equity: Mid Cap,1.66,-7.55,17.55,21.15,BSE 150 MidCap TRI,-0.17,-4.94,21.8,27.39,17.4,16.49,0.67,1.16,0.99,-3.18,20.69,15.83,0.91,1.34,Taurus Mutual Fund,Open-ended,"2.13%
(As on 31-Aug-2025)",Taurus Asset Management Company Ltd,NIFTY Midcap 150 TRI,Anuj Kapil,Financial,21.32,Industrials,19.99,Consumer Discretionary,13.58,Very High,Equity,Mid Cap
Taurus Nifty 50 Index Dir,Equity: Large Cap,5.26,-1.06,12.01,17.5,BSE 100 TRI,4.46,-1.7,14.08,19.28,11.49,11.97,0.43,0.77,0.94,-1.52,13.41,12.6,0.56,0.95,Taurus Mutual Fund,Open-ended,"0.80%
(As on 31-Aug-2025)",Taurus Asset Management Company Ltd,NIFTY 50 TRI,Anuj Kapil,Financial,37.54,Technology,16.86,Energy & Utilities,11.71,Very High,Equity,Large Cap
Templeton India Value Dir,Equity: Value Oriented,1.72,-6.8,18.71,27.63,BSE 500 TRI,2.84,-3.29,15.09,20.66,17.89,12.66,0.91,1.66,0.91,4.25,14.4,13.39,0.6,0.94,Franklin Templeton Mutual Fund,Open-ended,"0.87%
(As on 31-Aug-2025)",Franklin Templeton Asset Management India Private Ltd,NIFTY 500 TRI,Ajay Argal,Financial,34.55,Energy & Utilities,16.49,Consumer Discretionary,10.05,Very High,Equity,Value Oriented
Union ELSS Tax Saver Dir,Equity: ELSS,2.84,-0.47,16.06,21.27,BSE 500 TRI,2.84,-3.29,15.09,20.66,15.19,12.36,0.72,1.06,0.88,1.71,14.4,13.39,0.6,0.94,Union Mutual Fund,Open-ended,"1.38%
(As on 31-Aug-2025)",Union Asset Management Company Pvt.Ltd.,BSE 500 TRI,Vinod Malviya,Financial,30.11,Industrials,14.44,Consumer Discretionary,12.28,Very High,Equity,ELSS
Union Flexi Cap Dir,Equity: Flexi Cap,0.91,-0.56,15.99,20.84,BSE 500 TRI,2.84,-3.29,15.09,20.66,15.24,12.65,0.7,0.96,0.91,1.58,14.4,13.39,0.6,0.94,Union Mutual Fund,Open-ended,"0.91%
(As on 31-Aug-2025)",Union Asset Management Company Pvt.Ltd.,BSE 500 TRI,Sanjay Bembalkar,Financial,31.24,Industrials,14.68,Consumer Discretionary,13.28,Very High,Equity,Flexi Cap
Union Focused Dir,Equity: Flexi Cap,1.11,1.57,13.63,19.11,BSE 500 TRI,2.84,-3.29,15.09,20.66,12.92,12.5,0.53,0.76,0.88,-0.48,14.4,13.39,0.6,0.94,Union Mutual Fund,Open-ended,"1.46%
(As on 31-Aug-2025)",Union Asset Management Company Pvt.Ltd.,BSE 500 TRI,Pratik Dharmshi,Financial,31.62,Consumer Discretionary,18.25,Technology,14.31,Very High,Equity,Flexi Cap
Union Largecap Dir,Equity: Large Cap,2.1,-2.21,13.07,17.61,BSE 100 TRI,4.46,-1.7,14.08,19.28,12.44,11.87,0.52,0.88,0.92,-0.39,13.41,12.6,0.56,0.95,Union Mutual Fund,Open-ended,"1.62%
(As on 31-Aug-2025)",Union Asset Management Company Pvt.Ltd.,BSE 100 TRI,Pratik Dharmshi,Financial,34.21,Technology,15.97,Industrials,11.22,Very High,Equity,Large Cap
Union Large & Midcap Dir,Equity: Large & MidCap,1.14,-0.04,16.44,21.37,BSE Large Mid Cap TRI,3.63,-2.87,14.42,20.55,15.78,13.32,0.71,0.88,0.91,2.56,13.75,13.11,0.57,0.8,Union Mutual Fund,Open-ended,"0.94%
(As on 31-Aug-2025)",Union Asset Management Company Pvt.Ltd.,NIFTY Large Midcap 250 TRI,Pratik Dharmshi,Financial,23.95,Industrials,17.39,Consumer Discretionary,14.89,Very High,Equity,Large & MidCap
Union Midcap Dir,Equity: Mid Cap,1.2,0.21,19.72,27.37,BSE 150 MidCap TRI,-0.17,-4.94,21.8,27.39,19.1,15.53,0.82,1.07,0.92,-0.48,20.69,15.83,0.91,1.34,Union Mutual Fund,Open-ended,"0.75%
(As on 31-Aug-2025)",Union Asset Management Company Pvt.Ltd.,BSE 150 MidCap TRI,Gaurav Chopra,Financial,18.41,Industrials,16.8,Consumer Discretionary,15.33,Very High,Equity,Mid Cap
Union Small Cap Dir,Equity: Small Cap,-3.42,-2.09,18.12,27.25,BSE 250 SmallCap TRI,-3.99,-8.74,21.32,28.44,17.92,17.5,0.66,0.87,0.84,-0.74,20.97,18.9,0.77,1.19,Union Mutual Fund,Open-ended,"0.94%
(As on 31-Aug-2025)",Union Asset Management Company Pvt.Ltd.,BSE 250 SmallCap TRI,Gaurav Chopra,Industrials,27.92,Consumer Discretionary,21.69,Financial,16.39,Very High,Equity,Small Cap
Union Value Dir,Equity: Value Oriented,2.81,-1.99,18.54,22.38,BSE 500 TRI,2.84,-3.29,15.09,20.66,17.44,12.6,0.88,1.46,0.89,3.91,14.4,13.39,0.6,0.94,Union Mutual Fund,Open-ended,"1.32%
(As on 31-Aug-2025)",Union Asset Management Company Pvt.Ltd.,BSE 500 TRI,Vinod Malviya,Financial,30.36,Consumer Discretionary,12.86,Industrials,10.91,Very High,Equity,Value Oriented
UTI BSE Sensex ETF,Equity: Large Cap,4.33,-0.67,12.17,17.35,BSE 100 TRI,4.46,-1.7,14.08,19.28,11.66,11.73,0.45,0.8,0.92,-1.17,13.41,12.6,0.56,0.95,UTI Mutual Fund,Open-ended,"0.05%
(As on 31-Aug-2025)",UTI Asset Management Company Ltd,BSE Sensex TRI,Sharwan Kumar Goyal,Financial,39.98,Technology,18.93,Energy & Utilities,12.88,Very High,Equity,Large Cap
UTI BSE Sensex Next 50 ETF,Equity: Large Cap,2.68,-3.86,19.04,23.91,BSE 100 TRI,4.46,-1.7,14.08,19.28,18.06,15.78,0.74,1.07,1.17,3.46,13.41,12.6,0.56,0.95,UTI Mutual Fund,Open-ended,"0.21%
(As on 31-Aug-2025)",UTI Asset Management Company Ltd,BSE Sensex Next 50 TRI,Sharwan Kumar Goyal,Financial,27.17,Consumer Discretionary,13.72,Consumer Staples,13.59,Very High,Equity,Large Cap
UTI Children's Equity Dir,Equity: Flexi Cap,2.53,-4.11,13.14,18.92,BSE 500 TRI,2.84,-3.29,15.09,20.66,12.66,12.88,0.49,0.79,0.92,-1.11,14.4,13.39,0.6,0.94,UTI Mutual Fund,Open-ended,"1.22%
(As on 31-Aug-2025)",UTI Asset Management Company Ltd,NIFTY 500 TRI,Sachin Trivedi,Financial,29.68,Technology,15.38,Consumer Discretionary,14.29,Very High,Equity,Flexi Cap
UTI Dividend Yield Dir,Equity: Thematic-Dividend Yield,1.82,-4.97,20.42,22.32,BSE 500 TRI,2.84,-3.29,15.09,20.66,18.81,13.53,0.92,1.44,0.95,4.83,14.4,13.39,0.6,0.94,UTI Mutual Fund,Open-ended,"1.48%
(As on 31-Aug-2025)",UTI Asset Management Company Ltd,NIFTY 500 TRI,Amit Kumar Premchandani,Financial,29.67,Technology,13.14,Energy & Utilities,12.9,Very High,Equity,Thematic-Dividend Yield
UTI ELSS Tax Saver Dir,Equity: ELSS,1.86,-4.66,13.23,19.13,BSE 500 TRI,2.84,-3.29,15.09,20.66,12.77,12.98,0.5,0.8,0.93,-1.06,14.4,13.39,0.6,0.94,UTI Mutual Fund,Open-ended,"0.90%
(As on 31-Aug-2025)",UTI Asset Management Company Ltd,NIFTY 500 TRI,Amit Kumar Premchandani,Financial,33.32,Technology,16.25,Consumer Discretionary,16.07,Very High,Equity,ELSS
UTI Flexi Cap Dir,Equity: Flexi Cap,3.74,1.01,11.06,17.02,BSE 500 TRI,2.84,-3.29,15.09,20.66,10.66,12.24,0.35,0.55,0.82,-2.26,14.4,13.39,0.6,0.94,UTI Mutual Fund,Open-ended,"1.00%
(As on 31-Aug-2025)",UTI Asset Management Company Ltd,NIFTY 500 TRI,Ajay Tyagi,Financial,23.94,Technology,23.43,Consumer Discretionary,16.62,Very High,Equity,Flexi Cap
UTI India Consumer Dir,Equity: Thematic-Consumption,5.23,-2.25,14.63,18.32,BSE 500 TRI,2.84,-3.29,15.09,20.66,13.89,14.13,0.53,0.72,0.83,-1.98,14.4,13.39,0.6,0.94,UTI Mutual Fund,Open-ended,"1.56%
(As on 31-Aug-2025)",UTI Asset Management Company Ltd,NIFTY India Consumption TRI,Vicky Punjabi,Consumer Discretionary,38.58,Consumer Staples,24.67,Technology,16.27,Very High,Equity,Thematic-Consumption
